iter,tokens,train_loss,val_loss,lr,elapsed_s,mfu
0,0,4.241442,4.240242,5.000000e-06,16.58,0.0000
250,4096000,2.206315,2.249527,9.997591e-04,92.62,0.0000
500,8192000,1.669113,1.837762,9.913534e-04,168.48,0.0014
750,12288000,1.446688,1.638564,9.711577e-04,244.46,0.0014
1000,16384000,1.335293,1.547693,9.397114e-04,321.26,0.0014
1250,20480000,1.273075,1.513335,8.978547e-04,399.11,0.0014
1500,24576000,1.210023,1.490492,8.467056e-04,486.70,0.0014
1750,28672000,1.171461,1.468134,7.876305e-04,574.73,0.0014
2000,32768000,1.135576,1.463230,7.222075e-04,665.10,0.0013
2250,36864000,1.092789,1.454296,6.521843e-04,755.34,0.0013
2500,40960000,1.062551,1.452846,5.794314e-04,844.20,0.0013
2750,45056000,1.025208,1.465844,5.058923e-04,931.95,0.0013
3000,49152000,0.987697,1.462999,4.335314e-04,1021.01,0.0013
3250,53248000,0.956060,1.478833,3.642818e-04,1112.94,0.0013
3500,57344000,0.924892,1.485070,2.999934e-04,1202.19,0.0013
3750,61440000,0.899215,1.500141,2.423835e-04,1290.57,0.0013
4000,65536000,0.876140,1.507022,1.929910e-04,1381.22,0.0013
4250,69632000,0.852079,1.523919,1.531354e-04,1470.85,0.0013
4500,73728000,0.835796,1.529182,1.238814e-04,1560.29,0.0013
4750,77824000,0.821264,1.533381,1.060105e-04,1649.11,0.0013
4999,81903616,0.812189,1.533049,1.000001e-04,1736.50,0.0013
