iter,tokens,train_loss,val_loss,lr,elapsed_s,mfu
0,0,7.685252,7.685176,5.000000e-06,7.55,0.0000
250,3072000,3.313760,3.301549,9.998350e-04,62.28,0.0000
500,6144000,2.579534,2.573497,9.940719e-04,117.06,0.0000
750,9216000,2.272995,2.291344,9.801785e-04,176.07,1.2883
1000,12288000,2.122116,2.142334,9.584089e-04,234.75,1.2883
1250,15360000,2.028681,2.040821,9.291619e-04,294.47,1.3061
1500,18432000,1.952403,1.990402,8.929729e-04,355.52,1.3061
1750,21504000,1.900200,1.939064,8.505045e-04,416.32,1.3193
2000,24576000,1.851534,1.883510,8.025342e-04,475.90,1.3193
2250,27648000,1.810166,1.847294,7.499403e-04,535.17,1.3227
2500,30720000,1.776892,1.809835,6.936857e-04,595.53,1.3227
2750,33792000,1.728530,1.788702,6.348004e-04,655.25,1.3319
3000,36864000,1.709947,1.759791,5.743625e-04,715.55,1.3319
3250,39936000,1.670715,1.733566,5.134786e-04,775.77,1.3460
3500,43008000,1.640224,1.714281,4.532633e-04,836.71,1.3460
3750,46080000,1.609354,1.695837,3.948192e-04,897.34,1.3296
4000,49152000,1.590196,1.678215,3.392162e-04,958.91,1.3296
4250,52224000,1.565254,1.662630,2.874724e-04,1017.69,1.3562
4500,55296000,1.549134,1.635775,2.405352e-04,1076.46,1.3562
4750,58368000,1.533800,1.620669,1.992640e-04,1137.11,1.3758
5000,61440000,1.498574,1.624978,1.644143e-04,1196.53,1.3758
5250,64512000,1.494974,1.617422,1.366242e-04,1255.88,1.3666
5500,67584000,1.490306,1.615654,1.164025e-04,1315.66,1.3666
5750,70656000,1.472951,1.598952,1.041195e-04,1375.45,1.3857
5999,73715712,1.475987,1.604599,1.000001e-04,1435.90,1.3857
